symbol,sector,industry
AGX,Consumer Discretionary,Engineering & Construction
AGYS,Technology,EDP Services
AHCO,Health Care,Medical/Nursing Services
AHG,Real Estate,Real Estate
AHH,Finance,Real Estate
AHL,Finance,Property-Casualty Insurers
AHR,Real Estate,Real Estate Investment Trusts
AHT,Real Estate,Real Estate Investment Trusts
AI,Technology,Computer Software: Prepackaged Software
AIFF,Technology,Computer Software: Prepackaged Software
AIFU,Finance,Specialty Insurers
AIG,Finance,Life Insurance
AIHS,Finance,Finance: Consumer Services
AII,Finance,Property-Casualty Insurers
AIIO,Industrials,Auto Manufacturing
AIIOW,Industrials,Auto Manufacturing
AIM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMD,Health Care,Biotechnology: Pharmaceutical Preparations
AIMDW,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Consumer Discretionary,Textiles
AIO,Finance,Finance/Investors Services
AIOT,Telecommunications,Telecommunications Equipment
AIP,Technology,Semiconductors
AIR,Industrials,Aerospace
AIRE,Finance,Real Estate
AIRG,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Industrials,Military/Government/Technical
AIRJ,Industrials,Industrial Machinery/Components
AIRJW,Industrials,Industrial Machinery/Components
AIRO,Industrials,Aerospace
AIRS,Health Care,Medical/Nursing Services
AIRT,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Consumer Discretionary,Air Freight/Delivery Services
AISP,Technology,Computer Software: Prepackaged Software
AISPW,Technology,Computer Software: Prepackaged Software
AIT,Consumer Discretionary,Industrial Specialties
AIV,Real Estate,Real Estate Investment Trusts
AIXI,Technology,Computer Software: Prepackaged Software
AIZ,Finance,Property-Casualty Insurers
AIZN,Finance,Property-Casualty Insurers
AJG,Finance,Specialty Insurers
AKA,Consumer Discretionary,Catalog/Specialty Distribution
AKAM,Real Estate,Real Estate
AKAN,Health Care,Medicinal Chemicals and Botanical Products
AKBA,Health Care,Biotechnology: Pharmaceutical Preparations
AKR,Real Estate,Real Estate Investment Trusts
AKRO,Health Care,Biotechnology: Pharmaceutical Preparations
AKTX,Health Care,Biotechnology: Pharmaceutical Preparations
AL,Consumer Discretionary,Diversified Commercial Services
ALAB,Technology,Semiconductors
ALAR,Technology,Computer Software: Prepackaged Software
ALB,Industrials,Major Chemicals
ALBT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALC,Health Care,Ophthalmic Goods
ALCY,Finance,Blank Checks
ALCYU,Finance,Blank Checks
ALCYW,Finance,Blank Checks
ALDFU,Finance,Blank Checks
ALDX,Health Care,Biotechnology: Pharmaceutical Preparations
ALE,Utilities,Power Generation
ALEC,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,Real Estate,Real Estate Investment Trusts
ALFUW,Finance,Blank Checks
ALG,Industrials,Industrial Machinery/Components
ALGM,Technology,Semiconductors
ALGN,Health Care,Industrial Specialties
ALGS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Health Care,Medical Specialities
ALIT,Real Estate,Real Estate
ALK,Consumer Discretionary,Air Freight/Delivery Services
ALKS,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,Technology,Computer Software: Prepackaged Software
ALL,Finance,Property-Casualty Insurers
ALLE,Consumer Discretionary,Diversified Commercial Services
ALLO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLR,Health Care,Biotechnology: Pharmaceutical Preparations
ALLT,Telecommunications,Computer Communications Equipment
ALLY,Finance,Major Banks
ALM,Basic Materials,Other Metals and Minerals
ALMS,Health Care,Biotechnology: Pharmaceutical Preparations
ALMU,Technology,Semiconductors
ALNT,Industrials,Electrical Products
ALNY,Health Care,Biotechnology: Pharmaceutical Preparations
ALOT,Technology,Computer peripheral equipment
ALRM,Technology,Computer Software: Prepackaged Software
ALRS,Finance,Major Banks
ALSN,Consumer Discretionary,Auto Parts:O.E.M.
ALT,Health Care,Biotechnology: Pharmaceutical Preparations
ALTG,Industrials,Industrial Machinery/Components
ALTI,Finance,Investment Managers
ALTO,Industrials,Major Chemicals
ALTS,Finance,Finance: Consumer Services
ALUR,Health Care,Medical/Dental Instruments
ALV,Consumer Discretionary,Auto Parts:O.E.M.
ALVO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVOW,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALX,Real Estate,Real Estate Investment Trusts
ALXO,Health Care,Biotechnology: Pharmaceutical Preparations
ALZN,Health Care,Biotechnology: Pharmaceutical Preparations
AM,Utilities,Natural Gas Distribution
AMAL,Finance,Major Banks
AMAT,Technology,Semiconductors
AMBA,Technology,Semiconductors
AMBC,Finance,Property-Casualty Insurers
AMBI,Industrials,Environmental Services
AMBO,Real Estate,Other Consumer Services
AMBP,Industrials,Containers/Packaging
AMBQ,Technology,Semiconductors
AMBR,Finance,Finance: Consumer Services
AMC,Consumer Discretionary,Movies/Entertainment
AMCR,Consumer Discretionary,Miscellaneous manufacturing industries
AMCX,Telecommunications,Cable & Other Pay Television Services
AMD,Technology,Semiconductors
AME,Industrials,Industrial Machinery/Components
AMG,Finance,Investment Managers
AMGN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,Real Estate,Real Estate Investment Trusts
AMIX,Health Care,Medical/Dental Instruments
AMKR,Technology,Semiconductors
AMLX,Health Care,Biotechnology: Pharmaceutical Preparations
AMN,Consumer Discretionary,Professional Services
AMOD,Miscellaneous,Multi-Sector Companies
AMODW,Miscellaneous,Multi-Sector Companies
AMP,Finance,Investment Managers
AMPG,Telecommunications,Telecommunications Equipment
AMPGW,Telecommunications,Telecommunications Equipment
AMPH,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,Technology,Computer Software: Prepackaged Software
AMPX,Miscellaneous,Industrial Machinery/Components
AMPY,Energy,Oil & Gas Production
AMR,Energy,Coal Mining
AMRC,Consumer Discretionary,Engineering & Construction
AMRK,Industrials,Other Specialty Stores
AMRN,Health Care,Biotechnology: Pharmaceutical Preparations
AMRX,Health Care,Biotechnology: Pharmaceutical Preparations
AMRZ,Industrials,Building Materials
AMS,Health Care,Medical Specialities
AMSC,Consumer Discretionary,Metal Fabrications
AMSF,Finance,Property-Casualty Insurers
AMST,Technology,Computer Software: Prepackaged Software
AMT,Real Estate,Real Estate Investment Trusts
AMTB,Finance,Major Banks
AMTD,Finance,Finance: Consumer Services
AMTX,Industrials,Major Chemicals
AMWD,Basic Materials,Forest Products
AMWL,Real Estate,Real Estate
AMX,Telecommunications,Telecommunications Equipment
AMZE,Consumer Staples,Beverages (Production/Distribution)
AMZN,Consumer Discretionary,Catalog/Specialty Distribution
AN,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ANAB,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,Industrials,Farming/Seeds/Milling
ANEB,Health Care,Biotechnology: Pharmaceutical Preparations
ANET,Telecommunications,Computer Communications Equipment
ANF,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANGH,Consumer Discretionary,Telecommunications Equipment
ANGHW,Consumer Discretionary,Telecommunications Equipment
ANGI,Consumer Discretionary,Advertising
ANGO,Health Care,Medical/Dental Instruments
ANGX,Consumer Discretionary,Movies/Entertainment
ANIK,Health Care,Medical/Dental Instruments
ANIP,Health Care,Biotechnology: Pharmaceutical Preparations
ANIX,Health Care,Biotechnology: Pharmaceutical Preparations
ANL,Health Care,Biotechnology: Pharmaceutical Preparations
ANNA,Energy,Oil & Gas Production
ANNAW,Energy,Oil & Gas Production
ANNX,Health Care,Biotechnology: Pharmaceutical Preparations
ANPA,Consumer Discretionary,Other Consumer Services
ANRO,Health Care,Biotechnology: Pharmaceutical Preparations
ANTA,Finance,Investment Bankers/Brokers/Service
ANTE,Consumer Discretionary,Advertising
ANTX,Health Care,Biotechnology: Pharmaceutical Preparations
ANVS,Health Care,Biotechnology: Pharmaceutical Preparations
ANY,Finance,Finance: Consumer Services
AOD,Finance,Investment Managers
AOMD,Finance,Real Estate
AOMN,Finance,Real Estate
AOMR,Finance,Real Estate
AON,Finance,Specialty Insurers
AORT,Health Care,Medical/Dental Instruments
AOS,Consumer Discretionary,Consumer Electronics/Appliances
AOSL,Technology,Semiconductors
AOUT,Consumer Discretionary,Recreational Games/Products/Toys
AP,Industrials,Fluid Controls
APA,Energy,Oil & Gas Production
APAM,Finance,Investment Managers
APD,Basic Materials,Major Chemicals
APDN,Consumer Discretionary,Other Consumer Services
APEI,Real Estate,Other Consumer Services
APG,Consumer Discretionary,Engineering & Construction
APGE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APH,Technology,Electrical Products
API,Technology,Computer Software: Prepackaged Software
APLD,Finance,Finance: Consumer Services
APLE,Real Estate,Real Estate Investment Trusts
APLM,Health Care,Biotechnology: Pharmaceutical Preparations
APLMW,Health Care,Biotechnology: Pharmaceutical Preparations
APLS,Health Care,Biotechnology: Pharmaceutical Preparations
APLT,Health Care,Biotechnology: Pharmaceutical Preparations
APM,Health Care,Biotechnology: Pharmaceutical Preparations
APO,Finance,Investment Managers
APOG,Consumer Discretionary,Auto Parts:O.E.M.
APOS,Finance,Investment Managers
APP,Technology,Computer Software: Programming Data Processing
APPF,Technology,Computer Software: Prepackaged Software
APPN,Technology,Computer Software: Prepackaged Software
APPS,Miscellaneous,Multi-Sector Companies
APRE,Health Care,Biotechnology: Pharmaceutical Preparations
APT,Health Care,Industrial Specialties
APTV,Consumer Discretionary,Auto Parts:O.E.M.
APUS,Health Care,Biotechnology: Pharmaceutical Preparations
APVO,Health Care,Biotechnology: Pharmaceutical Preparations
APWC,Industrials,Telecommunications Equipment
APYX,Health Care,Medical/Dental Instruments
AQB,Consumer Staples,Meat/Poultry/Fish
AQMS,Industrials,Metal Fabrications
AQN,Utilities,Electric Utilities: Central
AQNB,Utilities,Electric Utilities: Central
AQST,Health Care,Biotechnology: Pharmaceutical Preparations
AR,Energy,Oil & Gas Production
ARAI,Consumer Discretionary,Diversified Commercial Services
ARAY,Health Care,Medical/Dental Instruments
ARBB,Technology,EDP Services
ARBE,Technology,EDP Services
ARBEW,Technology,EDP Services
ARBK,Finance,Finance: Consumer Services
ARBKL,Finance,Finance: Consumer Services
ARCB,Industrials,Trucking Freight/Courier Services
ARCC,Finance,Finance: Consumer Services
ARCO,Consumer Discretionary,Restaurants
ARCT,Health Care,Biotechnology: Pharmaceutical Preparations
ARDC,Finance,Investment Managers
ARDT,Health Care,Hospital/Nursing Management
ARDX,Health Care,Biotechnology: Pharmaceutical Preparations
ARE,Real Estate,Real Estate Investment Trusts
AREB,Industrials,Plastic Products
AREBW,Industrials,Plastic Products
AREC,Energy,Coal Mining
AREN,Technology,EDP Services
ARES,Finance,Investment Managers
ARGX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARHS,Consumer Discretionary,Other Specialty Stores
ARI,Real Estate,Real Estate Investment Trusts
ARIS,Energy,Oilfield Services/Equipment
ARKO,Consumer Staples,Food Chains
ARKOW,Consumer Staples,Food Chains
ARKR,Consumer Discretionary,Restaurants
ARL,Real Estate,Other Consumer Services
ARLO,Consumer Staples,Consumer Electronics/Appliances
ARLP,Energy,Coal Mining
ARM,Technology,Semiconductors
ARMK,Consumer Discretionary,Restaurants
ARMP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AROC,Utilities,Natural Gas Distribution
AROW,Finance,Major Banks
ARQ,Industrials,Major Chemicals
ARQQ,Technology,Computer Software: Prepackaged Software
ARQQW,Technology,Computer Software: Prepackaged Software
ARQT,Health Care,Biotechnology: Pharmaceutical Preparations
ARR,Real Estate,Real Estate Investment Trusts
ARRY,Consumer Discretionary,Miscellaneous manufacturing industries
ARTL,Health Care,Biotechnology: Pharmaceutical Preparations
ARTNA,Utilities,Water Supply
ARTV,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARTW,Industrials,Industrial Machinery/Components
ARVN,Health Care,Biotechnology: Pharmaceutical Preparations
ARW,Technology,Electronic Components
ARWR,Health Care,Biotechnology: Pharmaceutical Preparations
ARX,Finance,Specialty Insurers
AS,Consumer Discretionary,Apparel
ASA,Industrials,Precious Metals
ASAN,Technology,Computer Software: Prepackaged Software
ASB,Finance,Major Banks
ASBA,Finance,Major Banks
ASBP,Health Care,Biotechnology: Pharmaceutical Preparations
ASBPW,Health Care,Biotechnology: Pharmaceutical Preparations
ASC,Consumer Discretionary,Marine Transportation
ASG,Finance,Investment Managers
ASGI,Finance,Investment Managers
ASGN,Consumer Discretionary,Professional Services
ASH,Consumer Discretionary,Specialty Chemicals
ASIC,Finance,Property-Casualty Insurers
ASIX,Industrials,Major Chemicals
ASLE,Consumer Discretionary,Industrial Specialties
ASM,Basic Materials,Metal Mining
ASMB,Health Care,Biotechnology: Pharmaceutical Preparations
ASML,Technology,Industrial Machinery/Components
ASND,Health Care,Biotechnology: Pharmaceutical Preparations
ASNS,Telecommunications,Telecommunications Equipment
ASO,Consumer Discretionary,Other Specialty Stores
ASPCR,Finance,Blank Checks
ASPCU,Finance,Blank Checks
ASPI,Industrials,Major Chemicals
ASPN,Consumer Discretionary,RETAIL: Building Materials
ASPS,Consumer Discretionary,Other Consumer Services
ASR,Consumer Discretionary,Aerospace
ASRT,Health Care,Biotechnology: Pharmaceutical Preparations
ASRV,Finance,Major Banks
ASST,Technology,Computer Software: Prepackaged Software
ASTC,Industrials,Biotechnology: Laboratory Analytical Instruments
ASTE,Industrials,Construction/Ag Equipment/Trucks
ASTH,Consumer Discretionary,Professional Services
ASTI,Technology,Semiconductors
ASTL,Industrials,Steel/Iron Ore
ASTLW,Industrials,Steel/Iron Ore
ASTS,Consumer Discretionary,Telecommunications Equipment
ASUR,Technology,EDP Services
ASX,Technology,Semiconductors
ASYS,Technology,Industrial Machinery/Components
ATAI,Health Care,Biotechnology: Pharmaceutical Preparations
ATAT,Consumer Discretionary,Hotels/Resorts
ATCH,Finance,Finance: Consumer Services
ATEC,Health Care,Medical/Dental Instruments
ATEN,Telecommunications,Computer Communications Equipment
ATER,Consumer Discretionary,Home Furnishings
ATEX,Telecommunications,Telecommunications Equipment
ATGE,Real Estate,Other Consumer Services
ATGL,Technology,EDP Services
ATHA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHE,Health Care,Biotechnology: Pharmaceutical Preparations
ATHM,Technology,EDP Services
ATHR,Technology,Computer Software: Prepackaged Software
ATI,Industrials,Steel/Iron Ore
ATIIW,Finance,Blank Checks
ATKR,Miscellaneous,Industrial Machinery/Components
ATLC,Finance,Finance: Consumer Services
ATLCL,Finance,Finance: Consumer Services
ATLCP,Finance,Finance: Consumer Services
ATLCZ,Finance,Finance: Consumer Services
ATLN,Industrials,Biotechnology: Laboratory Analytical Instruments
ATLO,Finance,Major Banks
ATLX,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
ATMC,Finance,Blank Checks
ATMCR,Finance,Blank Checks
ATMCU,Finance,Blank Checks
ATMU,Consumer Discretionary,Auto Parts:O.E.M.
ATMV,Finance,Blank Checks
ATMVR,Finance,Blank Checks
ATMVU,Finance,Blank Checks
ATNI,Telecommunications,Telecommunications Equipment
ATNM,Health Care,Biotechnology: Pharmaceutical Preparations
ATO,Utilities,Oil/Gas Transmission
ATOM,Technology,Semiconductors
ATON,Energy,Oil & Gas Production
ATOS,Health Care,Biotechnology: Pharmaceutical Preparations
ATPC,Health Care,Medical/Nursing Services
ATR,Industrials,Plastic Products
ATRA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATRC,Health Care,Medical/Dental Instruments
ATRO,Industrials,Military/Government/Technical
ATS,Industrials,Industrial Machinery/Components
ATUS,Telecommunications,Cable & Other Pay Television Services
ATXG,Consumer Discretionary,Professional Services
ATXS,Health Care,Biotechnology: Pharmaceutical Preparations
ATYR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AU,Basic Materials,Precious Metals
AUB,Finance,Major Banks
AUBN,Finance,Major Banks
AUDC,Utilities,Telecommunications Equipment
AUID,Technology,Computer Software: Prepackaged Software
AUNA,Health Care,Medical/Nursing Services
AUPH,Health Care,Biotechnology: Pharmaceutical Preparations
AUR,Technology,EDP Services
AURA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUROW,Technology,EDP Services
AUST,Basic Materials,Precious Metals
AUTL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUUD,Technology,EDP Services
AUUDW,Technology,EDP Services
AVA,Utilities,Power Generation
AVAH,Health Care,Medical/Nursing Services
AVAL,Finance,Commercial Banks
AVAV,Industrials,Aerospace
AVB,Real Estate,Real Estate Investment Trusts
AVBC,Finance,Banks
AVBH,Finance,Commercial Banks
AVBP,Health Care,Biotechnology: Pharmaceutical Preparations
AVD,Industrials,Agricultural Chemicals
AVDL,Health Care,Biotechnology: Pharmaceutical Preparations
AVDX,Technology,Computer Software: Prepackaged Software
AVGO,Technology,Semiconductors
AVIR,Health Care,Biotechnology: Pharmaceutical Preparations
AVK,Finance,Trusts Except Educational Religious and Charitable
AVNS,Health Care,Industrial Specialties
AVNT,Industrials,Major Chemicals
AVNW,Technology,Radio And Television Broadcasting And Communications Equipment
AVO,Consumer Staples,Farming/Seeds/Milling
AVPT,Technology,Computer Software: Prepackaged Software
AVR,Health Care,Industrial Specialties
AVT,Technology,Electronic Components
AVTR,Industrials,Biotechnology: Laboratory Analytical Instruments
AVTX,Health Care,Biotechnology: Pharmaceutical Preparations
AVXL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVY,Consumer Discretionary,Containers/Packaging
AWF,Finance,Trusts Except Educational Religious and Charitable
AWI,Industrials,Plastic Products
AWK,Utilities,Water Supply
AWP,Finance,Trusts Except Educational Religious and Charitable
AWR,Utilities,Water Supply
AWRE,Technology,Computer Software: Prepackaged Software
AWX,Utilities,Environmental Services
AX,Finance,Savings Institutions
AXGN,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXIL,Consumer Discretionary,Package Goods/Cosmetics
AXIN,Finance,Blank Checks
AXINR,Finance,Blank Checks
AXINU,Finance,Blank Checks
AXL,Consumer Discretionary,Auto Parts:O.E.M.
AXON,Industrials,Ordnance And Accessories
AXP,Finance,Finance: Consumer Services
AXR,Real Estate,Homebuilding
AXS,Finance,Property-Casualty Insurers
AXSM,Health Care,Biotechnology: Pharmaceutical Preparations
AXTA,Consumer Discretionary,Paints/Coatings
AXTI,Technology,Semiconductors
AYI,Consumer Discretionary,Building Products
AYTU,Health Care,Biotechnology: Pharmaceutical Preparations
AZ,Industrials,Industrial Machinery/Components
AZI,Consumer Discretionary,Automotive Aftermarket
AZN,Health Care,Biotechnology: Pharmaceutical Preparations
AZO,Consumer Discretionary,Auto & Home Supply Stores
AZTA,Technology,Industrial Machinery/Components
AZTR,Health Care,Biotechnology: Pharmaceutical Preparations
AZZ,Industrials,Industrial Specialties
B,Basic Materials,Precious Metals
BA,Industrials,Aerospace
BABA,Real Estate,Real Estate
BAC,Finance,Major Banks
BACCU,Finance,Blank Checks
BACQR,Finance,Blank Checks
BAER,Real Estate,Real Estate
BAERW,Real Estate,Real Estate
BAFN,Finance,Major Banks
BAH,Consumer Discretionary,Professional Services
BAK,Industrials,Major Chemicals
BALL,Industrials,Containers/Packaging
BALY,Consumer Discretionary,Hotels/Resorts
BAM,Consumer Discretionary,Other Consumer Services
BANC,Finance,Major Banks
BAND,Technology,Computer Software: Prepackaged Software
BANF,Finance,Major Banks
BANFP,Finance,Major Banks
BANL,Energy,Oil Refining/Marketing
